Client,Industry,Platform,Content_Type,Content_Topic,Posting_Day,Posting_Time,Reach,Impressions,Likes,Comments,Shares,Saves,Video_Views,Watch_Time,Clicks,Leads,Ad_Spend,Revenue,Performance_Score
Client_9,Technology,LinkedIn,Video,Product Education,Thursday,17:00,93686,173436,2254,282,93,664,16658,57823,3796,294,6798.39,43705.55,59.01
Client_7,Education,Facebook,Article,Tutorial,Saturday,11:00,64353,101841,7687,25,65,1431,9586,36808,178,29,19015.54,45032.95,60.74
Client_19,Education,Instagram,Article,Promotion,Wednesday,09:00,83004,134195,7482,1100,1312,276,49144,144758,2384,81,19689.06,29206.99,56.27
Client_18,Finance,LinkedIn,Image,Promotion,Wednesday,19:00,52839,92868,2429,252,69,22,51749,50082,2972,255,14727.69,59406.43,65.0
Client_6,Fashion,Instagram,Carousel,Entertainment,Tuesday,15:00,81076,144884,10587,474,2274,536,11890,2264,5243,673,11014.48,31975.12,77.68
Client_6,Healthcare,Instagram,Article,Product Education,Monday,15:00,13562,21264,1091,119,114,272,10128,12189,973,31,11337.41,46373.89,70.61
Client_13,Healthcare,Facebook,Reel,Tutorial,Sunday,15:00,63429,110067,8485,889,1551,1037,40829,41932,5329,968,11228.76,37612.76,83.5
Client_17,Finance,Facebook,Article,Behind the Scenes,Saturday,15:00,67724,98140,3716,242,359,111,66538,20690,6710,340,3347.44,5095.12,63.69
Client_13,Fashion,LinkedIn,Video,Entertainment,Sunday,09:00,69028,84390,4606,676,1076,125,24000,67884,1208,109,9195.9,9528.91,57.23
Client_5,Healthcare,Instagram,Video,Tips,Tuesday,11:00,53557,76952,4485,159,850,50,3603,17953,4954,915,11708.41,51923.15,84.07
Client_12,Fashion,YouTube,Carousel,Entertainment,Friday,17:00,13822,26566,1525,134,242,12,1300,2318,1152,60,4587.14,11126.67,70.58
Client_5,Finance,Facebook,Reel,Promotion,Tuesday,15:00,60269,102807,4662,686,722,32,49830,229379,1011,55,1419.77,9109.17,63.21
Client_8,Education,TikTok,Video,Tutorial,Wednesday,15:00,84477,115703,5812,437,718,953,54661,18660,7117,736,2712.93,14146.27,80.49
Client_13,Healthcare,LinkedIn,Image,Entertainment,Friday,09:00,83872,156721,10210,646,141,1542,66760,161153,6677,221,17629.63,42880.12,68.09
Client_10,Technology,LinkedIn,Image,Promotion,Thursday,11:00,87099,135549,4968,375,759,903,5684,11704,1517,208,11132.02,77354.16,68.65
Client_2,Fashion,YouTube,Reel,Promotion,Thursday,11:00,95001,104874,8256,494,195,945,94265,89315,5941,783,4765.4,13984.11,78.4
Client_8,Healthcare,YouTube,Article,Behind the Scenes,Thursday,09:00,64657,67946,4462,507,573,878,60272,52093,538,77,12666.95,38433.63,63.29
Client_4,Education,LinkedIn,Video,Behind the Scenes,Monday,15:00,24231,25696,3112,53,411,267,2499,8689,295,53,19882.36,19302.73,63.68
Client_1,Food,LinkedIn,Reel,Behind the Scenes,Monday,13:00,50288,85713,5364,416,205,1606,14725,57465,3481,491,13441.25,49186.83,80.39
Client_12,Food,Instagram,Video,Product Education,Sunday,21:00,92863,112143,7660,1046,663,1912,83265,279071,9007,1700,19474.93,48667.43,82.6
Client_11,Fashion,Facebook,Video,Product Education,Monday,11:00,79547,152207,9747,254,1552,2110,2048,9928,2255,358,13919.53,32596.4,69.73
Client_18,Fashion,Facebook,Carousel,Entertainment,Friday,09:00,35076,60001,1218,179,278,319,31326,8115,787,13,18462.51,146372.85,53.6
Client_3,Technology,YouTube,Reel,Tips,Thursday,13:00,35604,39861,2046,152,329,91,13210,4222,3273,408,560.79,824.97,72.28
Client_14,Technology,Facebook,Carousel,Product Education,Saturday,17:00,50871,69089,1939,231,172,71,37310,114518,845,76,8050.51,29532.03,55.32
Client_6,Finance,TikTok,Video,Customer Story,Tuesday,13:00,19042,25173,1343,155,109,46,15542,21397,765,113,4502.36,33904.68,78.55
Client_18,Healthcare,LinkedIn,Carousel,Behind the Scenes,Friday,09:00,20728,38424,1908,139,289,457,10223,38430,1738,42,5538.21,24422.38,70.67
Client_8,Education,YouTube,Reel,Tips,Thursday,13:00,73931,146332,9090,487,86,2255,21983,21750,5716,6,12331.88,85554.98,68.54
Client_6,Technology,LinkedIn,Video,Product Education,Friday,13:00,87562,152359,4286,614,808,1046,49051,36583,7254,370,12751.78,100398.4,74.04
Client_20,Healthcare,Instagram,Video,Tutorial,Wednesday,11:00,65571,65799,9558,1227,352,1230,13182,44726,1082,186,8548.59,24833.16,72.74
Client_8,Food,Facebook,Image,Entertainment,Friday,13:00,27105,51092,2906,378,245,600,20185,22601,926,97,4112.04,11512.4,69.34
Client_16,Healthcare,LinkedIn,Video,Tips,Tuesday,13:00,88796,152502,13055,84,3222,1599,55675,201390,7859,1207,6854.53,48557.71,88.56
Client_12,Food,YouTube,Video,Behind the Scenes,Sunday,15:00,75453,121567,10993,1379,1850,787,5011,13005,7111,636,14629.65,49164.79,80.62
Client_8,Fashion,Facebook,Image,Customer Story,Saturday,13:00,89670,129292,11420,739,143,2899,36970,31455,7421,293,7393.16,27671.66,75.08
Client_14,Finance,LinkedIn,Reel,Tutorial,Friday,13:00,14217,23619,1809,86,401,85,6400,11214,897,0,545.96,1710.07,62.58
Client_13,Technology,Instagram,Reel,Product Education,Tuesday,09:00,24716,48713,2797,158,422,145,12931,20651,2081,230,14418.81,47960.52,78.23
Client_3,Finance,Facebook,Carousel,Customer Story,Tuesday,09:00,83495,108867,7124,928,368,391,81550,226012,1016,78,19046.27,142349.08,66.69
Client_17,Finance,TikTok,Reel,Entertainment,Thursday,19:00,63504,85977,2512,376,249,199,36092,110332,2045,179,17097.22,22577.29,55.37
Client_15,Food,LinkedIn,Video,Entertainment,Sunday,13:00,4773,6731,51,7,8,15,2111,10167,429,0,10638.66,16347.44,38.47
Client_17,Finance,Instagram,Article,Customer Story,Thursday,19:00,55987,70427,701,6,90,168,35859,133725,5441,134,2139.07,2008.48,42.79
Client_3,Food,Facebook,Reel,Customer Story,Thursday,17:00,27347,29882,62,10,12,17,26913,108294,759,106,8258.28,43369.55,47.9
Client_18,Fashion,TikTok,Article,Behind the Scenes,Wednesday,09:00,50036,63183,82,7,20,12,17260,49277,3197,453,3265.78,10216.47,49.47
Client_16,Technology,LinkedIn,Carousel,Entertainment,Tuesday,15:00,38520,73334,2510,121,310,669,38135,27928,1806,80,19264.86,22302.24,57.16
Client_15,Food,Facebook,Video,Product Education,Sunday,09:00,20750,36874,397,10,47,55,20189,99698,1104,189,1000.63,3304.96,58.24
Client_14,Fashion,TikTok,Image,Promotion,Saturday,19:00,14108,14896,678,48,62,130,5619,4984,106,5,992.18,4280.79,52.86
Client_3,Technology,YouTube,Image,Behind the Scenes,Thursday,17:00,71258,133259,2091,155,110,34,17024,54706,1805,157,3182.54,22773.43,56.1
Client_11,Healthcare,LinkedIn,Carousel,Behind the Scenes,Tuesday,15:00,60964,101047,7530,434,60,1365,13701,1579,1578,43,518.26,2139.0,62.18
Client_12,Fashion,LinkedIn,Carousel,Promotion,Sunday,21:00,35128,35879,2894,306,440,613,8283,33028,2043,379,641.23,1001.08,77.64
Client_12,Technology,LinkedIn,Carousel,Customer Story,Thursday,19:00,28366,41337,3944,356,196,403,2078,2301,93,15,5473.63,14272.46,62.61
Client_9,Healthcare,YouTube,Video,Behind the Scenes,Sunday,21:00,43936,68131,1493,138,329,216,31267,42580,1581,135,18017.13,31574.37,55.68
Client_9,Finance,YouTube,Image,Customer Story,Wednesday,11:00,90046,92110,2236,286,326,376,87804,347932,3414,153,5881.79,12802.72,52.6
Client_11,Food,TikTok,Video,Promotion,Saturday,17:00,56959,76129,4097,121,909,545,28599,30268,1864,122,11790.27,87577.03,72.22
Client_12,Fashion,Facebook,Article,Tips,Wednesday,17:00,23298,30676,1734,12,371,69,8472,36403,1425,214,9626.97,15287.95,72.82
Client_16,Finance,YouTube,Image,Promotion,Monday,11:00,27536,48096,1780,16,44,289,20800,62535,885,39,17592.9,50908.01,57.77
Client_9,Finance,Facebook,Reel,Behind the Scenes,Wednesday,15:00,15143,19939,657,20,55,24,13080,24176,703,119,2299.63,8349.16,68.91
Client_14,Education,YouTube,Article,Tutorial,Tuesday,21:00,13479,22334,1816,114,152,347,6147,30389,150,12,12347.71,51937.38,64.72
Client_18,Education,Instagram,Video,Entertainment,Tuesday,09:00,2011,3710,300,10,46,7,1329,6596,123,1,6440.29,29203.19,66.27
Client_10,Fashion,YouTube,Video,Tips,Saturday,13:00,32602,32680,4683,447,703,408,8381,5442,1085,132,18325.05,81363.49,80.01
Client_3,Food,TikTok,Article,Tips,Wednesday,09:00,65486,108345,1079,138,180,318,17828,31761,2964,371,9638.53,61682.08,61.0
Client_13,Education,TikTok,Video,Tips,Saturday,11:00,96301,158465,11303,1267,713,3334,982,2204,2101,357,15711.03,105124.23,76.67
Client_12,Education,Instagram,Reel,Entertainment,Saturday,13:00,34748,64781,773,112,81,87,33264,159282,1149,63,1602.56,4995.91,47.81
Client_1,Education,YouTube,Reel,Promotion,Monday,17:00,68876,71434,7065,219,668,1710,39847,172319,252,44,12907.95,23119.37,60.62
Client_14,Education,LinkedIn,Video,Entertainment,Friday,13:00,93983,136250,621,11,7,93,8812,10408,3385,512,9707.8,27690.78,46.31
Client_10,Healthcare,Facebook,Reel,Behind the Scenes,Tuesday,11:00,24920,37586,565,42,36,89,5529,23548,593,82,3147.26,9863.61,53.09
Client_6,Technology,Instagram,Carousel,Behind the Scenes,Saturday,11:00,36836,48086,5331,324,467,249,13263,61364,1100,111,13906.36,91534.64,77.71
Client_14,Technology,YouTube,Video,Tutorial,Tuesday,09:00,63118,92963,8568,242,629,423,61272,221972,5134,643,3292.05,3699.17,75.21
Client_4,Healthcare,Instagram,Image,Product Education,Sunday,13:00,81321,120685,11180,852,500,142,41379,864,6229,478,15611.62,24051.37,72.7
Client_12,Healthcare,Facebook,Image,Entertainment,Sunday,17:00,33833,52181,3419,500,443,1004,9832,46889,3008,372,2861.3,20824.99,87.37
Client_20,Technology,TikTok,Reel,Tips,Sunday,17:00,83656,137693,701,55,116,181,24730,100010,6859,823,1171.95,2488.93,51.81
Client_12,Healthcare,TikTok,Image,Product Education,Sunday,11:00,84295,143972,1895,137,325,248,39984,107168,1932,277,8009.89,33093.73,54.7
Client_13,Finance,Facebook,Carousel,Product Education,Tuesday,11:00,86529,96202,12644,1407,3052,2410,13535,65091,557,23,8982.97,13148.67,53.2
Client_12,Healthcare,Facebook,Video,Product Education,Monday,09:00,8523,10668,912,49,37,12,1561,4785,545,92,3990.02,10124.47,79.14
Client_15,Education,LinkedIn,Image,Behind the Scenes,Tuesday,11:00,43163,51835,3365,477,377,960,3197,4680,929,68,15346.1,78764.96,69.51
Client_5,Fashion,LinkedIn,Carousel,Behind the Scenes,Tuesday,17:00,92453,110558,2052,112,269,53,45503,132864,7121,1140,15359.79,17699.66,58.94
Client_5,Fashion,Facebook,Video,Promotion,Sunday,17:00,27625,50066,1706,60,298,204,21012,91401,367,72,5526.05,35953.86,67.99
Client_17,Education,YouTube,Carousel,Entertainment,Sunday,19:00,34476,68494,2047,269,210,545,11084,44470,166,19,15032.24,91926.81,61.93
Client_19,Finance,YouTube,Reel,Behind the Scenes,Saturday,19:00,91124,164971,11593,545,178,3025,2339,1982,6492,878,10793.91,23385.9,76.73
Client_3,Fashion,TikTok,Carousel,Tutorial,Sunday,09:00,98494,181256,3360,148,679,867,35687,52708,9500,186,5879.99,14344.26,56.57
Client_2,Fashion,Instagram,Carousel,Behind the Scenes,Friday,21:00,48436,78358,1963,222,205,306,46177,225177,4701,640,16561.03,49718.48,72.03
Client_3,Technology,Instagram,Video,Behind the Scenes,Tuesday,19:00,35946,56066,4333,523,666,580,22810,37588,3323,106,8501.06,23614.96,71.95
Client_1,Finance,Instagram,Article,Tips,Tuesday,21:00,58265,107793,433,62,77,45,45984,130138,4145,187,17226.62,78216.75,46.93
Client_5,Finance,LinkedIn,Video,Entertainment,Sunday,13:00,18257,22367,718,27,67,13,5530,9449,641,21,11980.39,68921.03,58.18
Client_7,Food,Facebook,Image,Customer Story,Tuesday,17:00,90073,124926,967,80,28,155,13950,1729,7270,1440,1974.41,11466.24,63.41
